# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 5.105270e+01
# lRef        : 1.000000e+00
# Aref        : 1.190359e-03
# CofR        : (2.500000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	-5.091083e-04	1.083878e+01	-5.975263e-04	-8.078714e-04	2.103452e-04
1             	-2.031851e-02	2.341061e+01	9.331274e-02	2.633786e-02	6.697488e-02
2             	-1.633035e-02	1.030561e+01	1.564286e-01	6.188396e-02	9.454465e-02
3             	6.572678e-03	-4.184556e+00	5.006601e-02	3.160568e-02	1.846033e-02
4             	2.186945e-02	-1.149020e+01	-1.023961e-01	-2.932861e-02	-7.306751e-02
5             	3.681120e-02	-6.465507e+00	-2.780490e-01	-1.022133e-01	-1.758357e-01
6             	9.622349e-02	9.222612e+00	-4.692830e-01	-1.384180e-01	-3.308650e-01
7             	-5.937390e-02	1.449045e+01	2.641598e-01	7.270601e-02	1.914538e-01
8             	-2.702426e-01	1.025445e+01	1.418226e+00	4.388704e-01	9.793556e-01
9             	-6.608806e-02	-1.829287e+00	4.424505e-01	1.551372e-01	2.873133e-01
10            	7.397715e-02	-8.453428e+00	-3.204207e-01	-8.623322e-02	-2.341875e-01
11            	8.184200e-02	-5.432210e+00	-5.107958e-01	-1.735559e-01	-3.372399e-01
12            	-6.385895e-02	2.491052e+00	1.997189e-01	3.600051e-02	1.637184e-01
13            	-1.792062e-02	7.933333e+00	3.980066e-02	1.979712e-03	3.782094e-02
14            	1.146362e-01	4.457245e+00	-4.646974e-01	-1.177125e-01	-3.469849e-01
15            	1.049359e-01	-2.401197e+00	-3.412952e-01	-6.571173e-02	-2.755835e-01
16            	-2.779798e-02	-4.634769e+00	1.853006e-01	6.485232e-02	1.204483e-01
17            	-9.142717e-02	-1.562417e+00	4.039153e-01	1.105305e-01	2.933848e-01
18            	-4.832946e-02	2.195565e+00	1.317769e-01	1.755901e-02	1.142179e-01
19            	3.778510e-02	2.779983e+00	-2.418654e-01	-8.314758e-02	-1.587178e-01
20            	7.394221e-02	7.176937e-01	-3.103962e-01	-8.125587e-02	-2.291403e-01
21            	2.649509e-02	-1.292711e+00	-3.211166e-02	1.043926e-02	-4.255091e-02
22            	-3.330400e-02	-1.268172e+00	1.997892e-01	6.659058e-02	1.331986e-01
23            	-3.572606e-02	1.634305e-01	1.288748e-01	2.871136e-02	1.001635e-01
24            	7.867262e-03	1.162930e+00	-9.887324e-02	-4.156936e-02	-5.730388e-02
25            	4.064135e-02	9.213832e-01	-1.985769e-01	-5.864711e-02	-1.399298e-01
26            	3.294673e-02	2.074832e-02	-1.148603e-01	-2.448343e-02	-9.037689e-02
27            	3.782414e-03	-4.455743e-01	2.497984e-02	1.627234e-02	8.707507e-03
28            	-1.131962e-02	-1.568123e-01	6.362565e-02	2.049321e-02	4.313245e-02
29            	-2.326915e-03	3.619211e-01	-7.768381e-04	-2.715334e-03	1.938496e-03
30            	1.560982e-02	5.210036e-01	-7.053307e-02	-1.965671e-02	-5.087636e-02
31            	2.039719e-02	2.752360e-01	-8.772527e-02	-2.346544e-02	-6.425983e-02
32            	1.263645e-02	-9.683007e-03	-4.609995e-02	-1.041352e-02	-3.568642e-02
33            	3.659862e-03	-4.588650e-02	-1.552207e-03	2.883759e-03	-4.435966e-03
34            	2.443331e-03	1.157819e-01	3.711322e-03	4.298992e-03	-5.876696e-04
35            	7.497956e-03	2.498357e-01	-1.934864e-02	-2.176364e-03	-1.717228e-02
36            	1.211328e-02	2.301314e-01	-3.393400e-02	-4.853722e-03	-2.908027e-02
37            	1.113995e-02	1.229338e-01	-2.515823e-02	-1.439169e-03	-2.371906e-02
38            	6.693375e-03	5.958305e-02	-4.611924e-03	4.387413e-03	-8.999336e-03
39            	3.738541e-03	8.345161e-02	5.241878e-03	6.359479e-03	-1.117602e-03
40            	4.597727e-03	1.391900e-01	-1.944761e-03	3.625346e-03	-5.570107e-03
41            	7.014630e-03	1.582696e-01	-1.360521e-02	2.120239e-04	-1.381724e-02
42            	7.464781e-03	1.324062e-01	-1.754942e-02	-1.309931e-03	-1.623949e-02
43            	5.785426e-03	1.005436e-01	-1.179695e-02	-1.130489e-04	-1.168390e-02
44            	3.733877e-03	9.399130e-02	-3.922121e-03	1.772816e-03	-5.694937e-03
45            	3.181533e-03	1.081429e-01	-3.120953e-03	1.621056e-03	-4.742009e-03
46            	4.035925e-03	1.202815e-01	-8.810000e-03	-3.690747e-04	-8.440925e-03
47            	4.513075e-03	1.174824e-01	-1.475445e-02	-2.864150e-03	-1.189030e-02
48            	4.286240e-03	1.065738e-01	-1.480170e-02	-3.114611e-03	-1.168709e-02
49            	3.462377e-03	1.005451e-01	-1.121528e-02	-2.145262e-03	-9.070016e-03
50            	2.730003e-03	1.027613e-01	-8.408368e-03	-1.474181e-03	-6.934187e-03
51            	2.761989e-03	1.074598e-01	-8.909956e-03	-1.692989e-03	-7.216968e-03
52            	3.161449e-03	1.086386e-01	-1.117761e-02	-2.427356e-03	-8.750253e-03
53            	3.255978e-03	1.060332e-01	-1.196125e-02	-2.724646e-03	-9.236602e-03
54            	2.857155e-03	1.032874e-01	-1.047553e-02	-2.380611e-03	-8.094921e-03
55            	2.260879e-03	1.029250e-01	-8.605527e-03	-2.041884e-03	-6.563643e-03
56            	1.969768e-03	1.045819e-01	-7.515875e-03	-1.788169e-03	-5.727706e-03
57            	2.009741e-03	1.058409e-01	-7.380023e-03	-1.680271e-03	-5.699752e-03
58            	2.133838e-03	1.057658e-01	-7.575545e-03	-1.653935e-03	-5.921611e-03
59            	2.083219e-03	1.050467e-01	-7.457976e-03	-1.645769e-03	-5.812206e-03
60            	1.859065e-03	1.050433e-01	-6.824677e-03	-1.553273e-03	-5.271404e-03
61            	1.581262e-03	1.057653e-01	-6.166782e-03	-1.502129e-03	-4.664653e-03
62            	1.417225e-03	1.067137e-01	-5.718507e-03	-1.442029e-03	-4.276478e-03
63            	1.346621e-03	1.073244e-01	-5.485629e-03	-1.396193e-03	-4.089436e-03
64            	1.242829e-03	1.076580e-01	-5.294225e-03	-1.404284e-03	-3.889941e-03
65            	1.074258e-03	1.078440e-01	-5.053904e-03	-1.452694e-03	-3.601210e-03
66            	8.733259e-04	1.085301e-01	-4.744346e-03	-1.498847e-03	-3.245499e-03
67            	6.877777e-04	1.093541e-01	-4.454905e-03	-1.539675e-03	-2.915230e-03
68            	4.680096e-04	1.100253e-01	-4.379014e-03	-1.721498e-03	-2.657517e-03
69            	1.872408e-04	1.104991e-01	-4.447797e-03	-2.036658e-03	-2.411139e-03
70            	-2.144012e-04	1.109624e-01	-4.770764e-03	-2.599783e-03	-2.170981e-03
71            	-6.594204e-04	1.114724e-01	-5.113266e-03	-3.216053e-03	-1.897212e-03
72            	-1.114270e-03	1.119793e-01	-5.455554e-03	-3.842047e-03	-1.613507e-03
73            	-1.592091e-03	1.124026e-01	-5.867002e-03	-4.525592e-03	-1.341410e-03
74            	-2.148125e-03	1.127071e-01	-6.497166e-03	-5.396708e-03	-1.100458e-03
75            	-2.769031e-03	1.129187e-01	-7.330501e-03	-6.434281e-03	-8.962198e-04
76            	-3.424527e-03	1.130079e-01	-8.354580e-03	-7.601818e-03	-7.527627e-04
77            	-4.149881e-03	1.130175e-01	-9.764251e-03	-9.032007e-03	-7.322447e-04
78            	-4.846006e-03	1.129558e-01	-1.106094e-02	-1.037648e-02	-6.844651e-04
79            	-5.591967e-03	1.127753e-01	-1.251897e-02	-1.185145e-02	-6.675157e-04
80            	-6.325617e-03	1.124515e-01	-1.396117e-02	-1.330620e-02	-6.549700e-04
81            	-7.119751e-03	1.119849e-01	-1.564761e-02	-1.494356e-02	-7.040559e-04
82            	-7.920845e-03	1.114249e-01	-1.740542e-02	-1.662356e-02	-7.818659e-04
83            	-8.667196e-03	1.108387e-01	-1.906663e-02	-1.820051e-02	-8.661184e-04
84            	-9.409795e-03	1.102008e-01	-2.081716e-02	-1.981838e-02	-9.987847e-04
85            	-1.014229e-02	1.095463e-01	-2.259266e-02	-2.143862e-02	-1.154045e-03
86            	-1.090544e-02	1.087934e-01	-2.446304e-02	-2.313697e-02	-1.326078e-03
87            	-1.158910e-02	1.080450e-01	-2.607177e-02	-2.462498e-02	-1.446786e-03
88            	-1.222568e-02	1.072249e-01	-2.753640e-02	-2.599388e-02	-1.542516e-03
89            	-1.277217e-02	1.064399e-01	-2.882099e-02	-2.718266e-02	-1.638322e-03
90            	-1.324034e-02	1.056820e-01	-2.996165e-02	-2.822117e-02	-1.740485e-03
91            	-1.362732e-02	1.049203e-01	-3.098743e-02	-2.912104e-02	-1.866396e-03
92            	-1.392646e-02	1.042375e-01	-3.193628e-02	-2.989460e-02	-2.041683e-03
93            	-1.414124e-02	1.035080e-01	-3.270113e-02	-3.049180e-02	-2.209323e-03
94            	-1.425796e-02	1.028324e-01	-3.320906e-02	-3.086249e-02	-2.346575e-03
95            	-1.426104e-02	1.022600e-01	-3.344046e-02	-3.098127e-02	-2.459187e-03
96            	-1.417796e-02	1.017314e-01	-3.349511e-02	-3.092551e-02	-2.569600e-03
97            	-1.402974e-02	1.011905e-01	-3.345957e-02	-3.075953e-02	-2.700039e-03
98            	-1.382112e-02	1.006651e-01	-3.332248e-02	-3.048236e-02	-2.840115e-03
99            	-1.356910e-02	1.001829e-01	-3.307652e-02	-3.010737e-02	-2.969157e-03
100           	-1.326935e-02	9.976451e-02	-3.272483e-02	-2.963177e-02	-3.093061e-03
101           	-1.292292e-02	9.938795e-02	-3.229975e-02	-2.907279e-02	-3.226961e-03
102           	-1.256016e-02	9.909574e-02	-3.191586e-02	-2.851809e-02	-3.397765e-03
103           	-1.217275e-02	9.879265e-02	-3.139112e-02	-2.786831e-02	-3.522804e-03
104           	-1.178400e-02	9.838972e-02	-3.081342e-02	-2.719071e-02	-3.622711e-03
105           	-1.139198e-02	9.803798e-02	-3.022476e-02	-2.650436e-02	-3.720399e-03
106           	-1.100126e-02	9.775363e-02	-2.962228e-02	-2.581240e-02	-3.809884e-03
107           	-1.063932e-02	9.755106e-02	-2.909751e-02	-2.518807e-02	-3.909434e-03
108           	-1.027513e-02	9.733848e-02	-2.859030e-02	-2.457028e-02	-4.020022e-03
109           	-9.920527e-03	9.706557e-02	-2.807099e-02	-2.395602e-02	-4.114968e-03
110           	-9.584499e-03	9.677649e-02	-2.754793e-02	-2.335846e-02	-4.189465e-03
111           	-9.267084e-03	9.651604e-02	-2.706345e-02	-2.279881e-02	-4.264639e-03
112           	-8.972836e-03	9.631148e-02	-2.663771e-02	-2.229169e-02	-4.346018e-03
113           	-8.686924e-03	9.609682e-02	-2.618857e-02	-2.178121e-02	-4.407362e-03
114           	-8.421484e-03	9.586605e-02	-2.578512e-02	-2.131404e-02	-4.471076e-03
115           	-8.179014e-03	9.562260e-02	-2.542930e-02	-2.089366e-02	-4.535634e-03
116           	-7.944399e-03	9.537579e-02	-2.505951e-02	-2.047416e-02	-4.585357e-03
117           	-7.733904e-03	9.518506e-02	-2.477767e-02	-2.012274e-02	-4.654933e-03
118           	-7.533493e-03	9.496999e-02	-2.449093e-02	-1.977896e-02	-4.711972e-03
119           	-7.352170e-03	9.476245e-02	-2.420871e-02	-1.945652e-02	-4.752184e-03
120           	-7.180675e-03	9.453768e-02	-2.395838e-02	-1.915987e-02	-4.798516e-03
121           	-7.022367e-03	9.433467e-02	-2.376966e-02	-1.890720e-02	-4.862462e-03
122           	-6.877698e-03	9.414125e-02	-2.359131e-02	-1.867335e-02	-4.917955e-03
123           	-6.739417e-03	9.395451e-02	-2.340562e-02	-1.844223e-02	-4.963393e-03
124           	-6.616815e-03	9.377006e-02	-2.324326e-02	-1.823845e-02	-5.004816e-03
125           	-6.503427e-03	9.355784e-02	-2.310658e-02	-1.805672e-02	-5.049864e-03
126           	-6.397461e-03	9.335546e-02	-2.297636e-02	-1.788564e-02	-5.090720e-03
127           	-6.301502e-03	9.318097e-02	-2.288551e-02	-1.774426e-02	-5.141256e-03
128           	-6.213203e-03	9.301593e-02	-2.281150e-02	-1.761895e-02	-5.192545e-03
